text,clean_text,label,f3_digits_ratio,f24_punct_div,f45_adj_count,f66_genitive_count,f87_gini
كثيرا ما ارتبطت المصادر التاريخية في الأندلس خاصة منها كتب التراجم والفهرسات والبرامج وغيرها بدراسة حياة العلماء والرواة والقضاة والساسة ؛ وقد تطورت هذه المادة حتى ترك لنا المؤلفون الأندلسيون سلسلة متواصلة الحلقات من كتب التـراجم كالصلة لابن بشكوال ، وصلة الصلة لابن الزبير، والتكملة لكتاب الصلة لابن الآبار، والذيل والتكملة لكتابي الموصول والصلة لابن عبد الملك المراكشي إضافة إلى الإحاطة في أخبار غرناطة لابن الخطيب ، إلا أنها لم تنس أن تشير في ثنايا أو بالأحرى في خواتم هذه المؤلفات إلى فئة المرأة العالمة التي ساهمت في الإنتاج الفكري والحضاري الأندلسي. ومن خلالها سنسعى إلى الوقوف على حالة التعليم عند المرأة الأندلسية ، وكيف كانت تأخذ فنون العلم. وما مدى إسهامها في الفكر التربوي والإنتاج الفكري الأندلسيين ؟.,ثيرا ارتبطت مصادر تاريخيه اندلس خاصه منها كتب تراجم فهرس برامج غير دراسه حياه علماء رواه قضاه ساسه تطورت ماده حتي ترك لنا مؤلف اندلسي لسله متواصله حلق كتب تراجم صله ابن شكوال صله صله ابن زبير، تكمله كتاب صله ابن ابار، ذيل تكمله كتابي موصول صله ابن عبد ملك مراكشي اضافه الي احاطه اخبار غرناطه ابن خطيب الا انها تنس ان تشير ثنايا او احري خواتم مؤلف الي فئه مراه عالمه اهمت انتاج فكري حضاري اندلسي خلال نسعي الي وقوف علي حاله تعليم مراه اندلسيه كيف تاخذ نون علم وما مدي اسهام فكر تربوي انتاج فكري اندلسي,0,0.0,0.005610098176718092,7.0,11.0,0.14915966386554613
يعد العامل الثقافي احد ابرز الاسباب التي يعزى لها سقوط الدولة الموحدية ، حتى أنه لايقل من حيث التأثير عن بقية العوامل خاصة السياسية و العسكرية ، فالتركيب الفكري لعقيدة ابن تومرت التي اعتبرت الركيزة الاساسية لقيام دولة الموحدين احتوى على تناقضات عقدية و فكرية و تشريعية فادحة ، جعلتها عرضة للانتقاد من مختلف التيارات الاجتماعية بما فيها السلطة الحاكمة التي تخلت نهائيا عن المنهج الفكري التومرتي على عهد الخليفة المأمون في تجسيد فعلي لتطلعات الفقهاء المالكية الذين كانوا الخصوم الاوائل لها سواءا على المستوى التشريعي الممثل في الردود العلمية في شكل مؤلفات أو على مستوى التحركات الثورية المسلحة ضد السلطة التي قادها الفقهاء ، ناهيك عن الدور الذي لعبه التيار الصوفي في تقويض اركان الدولة الموحدية التي امتحنت العديد من المتصوفة بل و قتلت بعضهم ، ما جعلة يتخندق الى جانب القوى المناوئة للسلطة و التي كان لها بالغ الاثر في انهيارها.,يعد عامل ثقافي احد ابرز اسباب يعزي قوط دوله موحديه حتي انه ايقل حيث تاثير قيه عوامل خاصه سياسيه عسكريه تركيب فكري عقيده ابن تومرت اعتبرت ركيزه اساسيه قيام دوله موحد احتوي علي تناقض عقديه كريه تشريعيه ادحه جعلت عرضه انتقاد مختلف تيار اجتماعيه يها سلطه حاكمه تخلت نهائيا منهج فكري تومرتي علي عهد خليفه مام تجسيد علي تطلع فقهاء مالكيه ذين انوا خصوم اوائل واءا علي مستوي تشريعي ممثل ردود علميه شكل مؤلف او علي مستوي تحرك ثوريه مسلحه ضد سلطه قاد فقهاء ناهيك دور عبه تيار صوفي تقويض ارك دوله موحديه امتحنت عديد متصوفه قتلت عضهم جعله يتخندق الي جانب قوي مناوئه سلطه الغ اثر انهيار,0,0.0,0.002421307506053269,13.0,15.0,0.19961288711288705
شكلت تلك الجهود والمساعي الرائدة التي قام بها قادة الثورة خلال مرحلتها الأولى (1954-1956) للبحث عن مصادر لتمويل الثورة بالأسلحة والذخيرة سواء في الداخل انطلاقا من المناطق الحدودية الشرقية والغربية (المنطقة الأولى والثانية والخامسة)بفضل الدور البارز الذي لعبه كل من: مصطفى بن بولعيد، وعباس لغرور، ولزهر شريط وعمارة العسكري(بوقلاز)ومحمد العربي بن مهيدي، أوفي الخارج بفضل جهود أحمد بن بلة، وعلي مهساس، وقاضي بشير؛ بالإضافة إلى دور محمد بوضياف الذي تكلَّف بمهمة التَّسليح على الجبهة الغربية بالتعاون والتنسيق مع محمد العربي بن مهيدي؛ الأرضية لمشروع إمداد الثورة بالسلاح والذخيرة الذي تجسدت معالمه بعد صائفة 1956،من خلال النَّشاط الحيوي لشبكات الدَّعم اللوجيستيكي في عمليات الإمداد بالأسلحة والذخيرة الذي عرفته الثورة التحريرية على الجبهتين البريَّة والبحريَّة انطلاقا من قواعد عسكرية خلفية للإمداد في طرابلس وتونس ووجده والناظور، ثم قواعد ومراكز حدودية للتموين في الشرق والغرب لتصل إلى المقاتلين في الولايات الداخلية بواسطة قوافل للتسليح عبر مسالك وممرات برية، أو خطوط إمداد بحرية تربط شبكة التَّسليح في الخارج (أوربا والمشرق العربي) ببعض الموانئ في الغرب الجزائري والسواحل المغربية. وانطلاقا من المادة التاريخية المتوفرة ،سنحاول من خلال هذه الدراسة التركيز على عمليات إمداد الثورة بالأسلحة والذخيرة على الجبهة البريَّة مع رصد أهم المسالك والممرات عبر الحدود الغربية التي شكلت المنافذ الحساسة لتهريب الأسلحة القادمة من وأوربا والمغرب..,شكلت تلك جهود مساعي رائده قام بها قاده ثوره مرحلت اولي بحث مصادر تمويل ثوره اسلحه ذخيره واء داخل انطلاقا مناطق حدوديه شرقيه غربيه منطقه اولي ثانيه خامسه فضل دور بارز عبه مصطفي بن ولعيد، عباس غرور، لزهر شريط عماره عسكري وقلاز محمد عربي بن مهيدي، اوفي خارج فضل جهود احمد بن له، علي مهساس، قاضي شير؛ اضافه الي دور محمد وضياف تكلف مهمه تسليح علي جبهه غربيه تعا تنسيق محمد عربي بن مهيدي؛ ارضيه مشروع امداد ثوره سلاح ذخيره تجسدت معالمه صائفه ،من نشاط حيوي شبك دعم لوجيستيكي عملي امداد اسلحه ذخيره عرفته ثوره تحريريه علي جبهت بريه بحريه انطلاقا قواعد عسكريه خلفيه امداد طرابلس تونس وجده ناظور، قواعد مراكز حدوديه تمو شرق غرب تصل الي مقاتل ولاي داخليه واسطه قوافل تسليح عبر مسالك ممر ريه، او خطوط امداد حريه تربط شبكه تسليح خارج اوربا مشرق عربي بعض موانئ غرب جزائري سواحل مغربيه انطلاقا ماده تاريخيه متوفره ،سنحاول دراسه تركيز علي عملي امداد ثوره اسلحه ذخيره علي جبهه بريه رصد اهم مسالك ممر عبر حدود غربيه شكلت منافذ حساسه تهريب اسلحه قادمه اوربا مغرب,0,0.009015777610818933,0.004507888805409466,17.0,22.0,0.2107496463932106
يقوم المقال على اشكالية الضرائب الغير شرعية في مختلف مراحل دولتي المرابطين والموحدين أي منذ القيام إلى السقوط، وأثرها على طبيعة علاقتهما مع الرعية. وقد وجدنا أن المرابطين قد تراجعوا عن مبدأ إلغاء الضرائب الغير الشرعية منذ بدايات حركتهم، إلا أن هذه الظاهرة تدرجت نحو التفاقم مع انتقال المرابطين من حركة دينية إلى ملك سياسي، وهذا ما انعكس على علاقة الدولة بالرعية، حتى أن الكثير من المؤرخين اعتبروا الضرائب الغير شرعية من أهم العوامل التي عجلت بسقوط دولة المرابطية. أما الموحدون اكتفوا بالضرائب الشرعية دون سواها، وبهذا استطاع الموحدون تجاوز مشكل الضرائب الغير شرعية رغم بعض التجاوزات لعمالهم في جمع الضرائب، لذا يمكننا أن نقر بأن النظام الضريبي الموحدي كان أكثر تنظيما من سابقه.,يقوم مقال علي اشكاليه ضرائب غير شرعيه مختلف مراحل دولتي مرابط موحد اي قيام الي سقوط، اثر علي طبيعه علاقتهما رعيه جدنا ان مرابط تراجع مبدا غاء ضرائب غير شرعيه داي حركتهم، الا ان ظاهره تدرجت تفاقم انتقال مرابط حركه دينيه الي ملك ياسي، هذا انعكس علي علاقه دوله رعيه، حتي ان كثير مؤرخ اعتبر ضرائب غير شرعيه اهم عوامل عجلت سقوط دوله مرابطيه اما موحد اكتف ضرائب شرعيه دون واها، بهذا استطاع موحد تجاوز مشكل ضرائب غير شرعيه رغم بعض تجاوز عمال جمع ضرائب، لذا يمكن ان نقر بان نظام ضريبي موحدي اكثر تنظيما ابقه,0,0.0,0.0029542097488921715,3.0,14.0,0.18771929824561417
تتفق المصادر التاريخية المتوفرة حول موضوع تطور الحركة الوطنية الجزائرية بعد نهاية الحرب العالمية الثانية1945،على أن الأزمة المزمنة التي عصفت بهياكل (حركة الانتصار للحريات الديمقراطية)MTLD خلال مؤتمرها الثاني الذي انعقد أيام 4،5،6 أفريل1953،لم تكن وليدة حينها بل نتيجة عدة مشاكل وأزمات لم يتم تسويتها في وقتها الأمر الذي زاد من استفحالها عندما اتضحت المسائل الجوهرية في طبيعة النزاع بين اللجنة المركزية ومصالي الحاج وأنصاره واتخاذ دعاة العمل المسلح موقفا معارضا من الطرفين وتبلور المشروع العسكري الذي بلغ مستوى من النضج في خضم مرحلة مخاض عسير انتهى بميلاد فصل ثوري عرف باللجنة الثورية للوحدة والعمل(CRUA)في مارس 1954 تلك اللجنة التي أخذت على عاتقها مسؤولية الإعداد الفعلي لتفجير الثورة في خريف 1954وفي هذا السياق يشير المناضل محمد بوضياف بأن الشروع في العمل المسلح كان أنسب حل لإنقاذ الحركة الوطنية الجزائرية من المأزق الذي وقعت فيه.,تتفق مصادر تاريخيه متوفره موضوع تطور حركه وطنيه جزائريه نهايه حرب عالميه ثانيه ،علي ان ازمه مزمنه عصفت هياكل حركه انتصار حري ديمقراطيه مؤتمر ثاني انعقد ايام افريل ،لم تكن ليده حين نتيجه عده مشاكل ازم يتم تسويت قتها امر زاد استفحال عندما اتضحت مسائل جوهريه طبيعه نزاع لجنه مركزيه مصالي حاج انصاره اتخاذ دعاه عمل مسلح موقفا معارضا طرف تبلور مشروع عسكري بلغ مستوي نضج خضم مرحله مخاض عسير انتهي ميلاد فصل ثوري عرف لجنه ثوريه وحده عمل مارس تلك لجنه اخذت علي عاتق مسؤوليه اعداد فعلي تفجير ثوره خريف سياق يشير مناضل محمد وضياف بان شروع عمل مسلح انسب حل انقاذ حركه وطنيه جزائريه مازق قعت فيه,0,0.02283653846153846,0.004807692307692308,9.0,12.0,0.12010630023334201
تعددت صور الحياة الثقافية و الفكرية و الأدبية في هذا العصر وارتبطت بواقعهم الحضاري الذي حدثت فيه طفرة نوعية كبيرة حين عد عصرهم بداية لازدهار ثقافي و علمي و أدبي لم يشهد له المغرب مثيلا من قبل، وهذا يعود أساسا إلى أن أمراء الدولة كانوا أهل علم وثقافة أولوا كبير الاهتمام برجالات الأدب والفكر و جميع علوم عصرهم... وفي ظل سلطان عالم نشأت حركة ثقافية وفكرية وأدبية عاكسة للأوضاع السائدة ،أسهمت في النهوض بأدب وثقافة المنطقة وازدهارها حتى نافست بلاد المشرق والأندلس، ولهذا اعتبر الكثير من الدارسين هذه الفترة مرحلة مهمة في تاريخ الأدب المغربي القديم عرفت بعصر الازدهار الثقافي والأدبي، و الفضل يعود للسلطة الحاكمة العارفة وسياستها الاستشرافية الرشيدة في بناء الفكر العقلي البشري المنتج.,تعددت صور حياه ثقافيه فكريه ادبيه عصر ارتبطت واقع حضاري حدثت فيه طفره نوعيه بيره حين عد عصر دايه ازدهار ثقافي علمي ادبي يشهد مغرب مثيلا قبل، هذا يعود اساسا الي ان امراء دوله انوا اهل علم ثقافه اول بير اهتمام رجال ادب فكر جميع علوم عصر ظل لطان عالم نشات حركه ثقافيه فكريه ادبيه عاكسه اوضاع سائده ،اسهمت نهوض ادب ثقافه منطقه ازدهار حتي نافست لاد مشرق اندلس، لهذا اعتبر كثير دارس فتره مرحله مهمه تاريخ ادب مغربي قديم عرفت عصر ازدهار ثقافي ادبي، فضل يعود سلطه حاكمه عارفه سياست استشرافيه رشيده ناء فكر عقلي بشري منتج,0,0.0,0.002936857562408223,7.0,7.0,0.09963527851458887
تروم هذه المحاولة العلمية المتواضعة رصد ملامح التحولات النضالية التي عرفتها الجزائر مع بزوغ القرن العشرين، حيث لجأ الجزائريون إلى تغيير نمط تصديهم للمحتلين الفرنسيين باستبدال طريقة المواجهة المسلحة بالمقاومة السلمية، فكان أن ظهرت أشكال نضالية متعددة لم يسبق للوطنيين تجريبها فقد كانت حكرا على المستوطنين الأوربيين، ومن بين تلك الأساليب نزول الحشود الجماهيرية إلى الساحات العامة والشوارع في حركة مظاهرات تستهدف إسماع الصوت الجزائري المغيب، ودفع السلطات الفرنسية إلى القيام بمراجعات لسياساتها المطبقة على أبناء البلد.تعكس تجربة المظاهرات الشعبية ذلك الزخم الذي ميّز الحياة السياسية الوطنية في النصف الأول من القرن العشرين بما أبان عن تطور كبير في مستويات الوعي والإدراك لدى الفئات العريضة من الجزائريين الذين كانوا سباقين إلى صناعة مشهد جديد غير مألوف في علاقة الأهالي بالمعمرين.,تروم محاوله علميه متواضعه رصد ملامح تحول نضاليه عرفت جزائر زوغ قرن عشرين، حيث لجا جزائري الي تغيير نمط تصدي محتل فرنسي استبدال طريقه مواجهه مسلحه مقاومه سلميه، كان ان ظهرت اشكال نضاليه متعدده يسبق وطني تجريب حكرا علي مستوطن اوربيين، تلك اساليب نزول حشود جماهيريه الي ساح عامه شوارع حركه مظاهر تستهدف اسماع صوت جزائري مغيب، دفع سلط فرنسيه الي قيام مراجع سياسات مطبقه علي ابناء بلد تعكس تجربه مظاهر شعبيه زخم ميز حياه سياسيه وطنيه نصف اول قرن عشر ابان تطور بير مستوي وعي ادراك لدي فئات عريضه جزائري ذين انوا باق الي صناعه مشهد جديد مالوف علاقه اهالي معمر,0,0.0,0.002574002574002574,5.0,14.0,0.07252252252252256
يعالج هذا المقال الإطار التنسيقي بين المنظمات الطلابية لكل من تونس والجزائر والمغرب الأقصى، والذي توج بظهور كونفدرالية الشمال الإفريقي للطلبة، والتي كان تأسيسها قد تزامن مع العديد من التطورات التي شهدتها الثورة الجزائرية على الصعيد العسكري والسياسي والطلابي بظهور الحكومة المؤقتة للجمهورية الجزائرية، وعلى الصعيد الطلابي ما لحق الطلبة الجزائريين في فرنسا، وحل الاتحاد للطلبة المسلمين الجزائريين في جانفي 1958، فأخذت هذه الكونفدرالية على عاتقها مهمة التنسيق بين المنظمات الثلاث والعمل في المجال الطلابي والدبلوماسي خدمة للقضية الجزائرية، فأتاحت بذلك بديلا مناسبا للطلبة الجزائريين للنشاط على الصعيد الدولي.,يعالج مقال اطار تنسيقي منظم طلابيه لكل تونس جزائر مغرب اقصي، الذي توج ظهور ونفدراليه شمال افريقي طلبه، التي تاسيس تزامن عديد تطور شهدت ثوره جزائريه علي صعيد عسكري سياسي طلابي ظهور حكومه مؤقته جمهوريه جزائريه، علي صعيد طلابي لحق طلبه جزائري رنسا، وحل اتحاد طلبه مسلم جزائري جانفي اخذت كونفدراليه علي عاتق مهمه تنسيق منظم ثلاث عمل مجال طلابي دبلوماسي خدمه قضيه جزائريه، اتاحت ذلك ديلا مناسبا طلبه جزائري نشاط علي صعيد دولي,0,0.006611570247933884,0.003305785123966942,12.0,9.0,0.147737625265715
يتناول هذا المقال بالدرس، اقتصاد الأندلس المبني على الغزو في صورة غنائم تراوحت بين المنقولة (العينية) والغير منقولة (عقارات وغيرها من الملكيات)، وتمتد فترة الدراسة من سنة 91ه، باعتبارها بداية إرسال الحملات الاستطلاعية إليها، وتنتهي بسنة 138ه، باعتبارها السنة الفعلية لانفصال الأندلس نهائيا عن الخلافة العباسية في المشرق، وقد شهدت هذه الفترة اعتمادا شبه كليا على الريع المتمثل في غنائم الحرب، ولئن تراجع هذا الاقتصاد في بعض الفترات بمجرد الفتح في المشرق باعتباره ظرفي ومتوقف على أسلوب الفتح والمناطق التي تم فتحها، فانه في الأندلس بقي مستمرا طيلة ثمانية قرون، وهذا باعتبار الأندلس كانت منطقة ثغرية يحيط بها النصارى المتربصين من الشمال، بل ومن جميع الجهات باعتبار أرضها وحدودها مفتوحة برا وبحرا.,يتناول مقال درس، اقتصاد اندلس مبني علي غزو صوره غنائم تراوحت منقوله عينيه غير منقوله عقار غير ملكي تمتد تره دراسه سنه ه، اعتبار دايه ارسال حمل استطلاعيه يها، تنتهي سنه ه، اعتبار سنه فعليه انفصال اندلس نهائيا خلافه عباسيه مشرق، شهدت فتره اعتمادا شبه ليا علي ريع متمثل غنائم حرب، لئن تراجع اقتصاد بعض فتر مجرد فتح مشرق اعتباره ظرفي متوقف علي اسلوب فتح مناطق تم تحها، انه اندلس بقي مستمرا طيله ثمانيه قرون، هذا اعتبار اندلس منطقه ثغريه يحيط بها نصاري متربص شمال، جميع جهات اعتبار ارض حدود مفتوحه برا بحرا,0,0.007215007215007215,0.005772005772005772,2.0,13.0,0.14210526315789473
نعالج في هذا الموضوع المعنون ب«الثورة التحريرية بالجنوب الغربي الجزائري (المنطقة الثامنة من الولاية الخامسة) منطقة العين الصفراء – أنموذجا - شهادة حية للمجاهد خليفي بونوة (ملازم بجيش التحرير الوطني) »أهم العمليات المسلحة التي قامت بها قوات جيش التحرير الوطني بمنطقة العين الصفراء من خلال سرد أحداث ووقائع بعض المعارك وهي: - معركة جبل عيسى 1957 -1958 ؛معركة جبل بني سمير –واد سيدي سعيد 1960 ؛معركة جبل بني سمير –كلخابو أواخر سنة 1960 ؛معركة العرجة 1961 ؛عملية اقتحام أحد مراكز العدو بالعين الصفراء.,نعالج موضوع معن ثوره تحريريه جنوب غربي جزائري منطقه ثامنه ولايه خامسه منطقه عين صفراء انموذجا شهاده حيه مجاهد خليفي ونوه ملازم جيش تحرير وطني اهم عملي مسلحه قامت بها قوات جيش تحرير وطني منطقه عين صفراء سرد احداث وقائع بعض معارك معركه جبل عيسي ؛معركه جبل بني مير واد يدي عيد ؛معركه جبل بني مير لخابو اواخر سنه ؛معركه عرجه ؛عمليه اقتحام احد مراكز عدو عين صفراء,0,0.04024144869215292,0.01006036217303823,5.0,3.0,0.12693025623621246
