batch,n_records,accuracy,f1,latency_ms,throughput_rps,predicted_human,predicted_ai,human_recall,ai_recall
0,50,0.92,0.9583,2526.3,19.8,46,4,0.92,0.0
1,50,0.86,0.9247,1137.6,44.0,43,7,0.86,0.0
2,50,0.88,0.9362,930.3,53.7,44,6,0.88,0.0
3,50,0.92,0.9583,1028.4,48.6,46,4,0.92,0.0
4,50,0.94,0.9691,1029.4,48.6,47,3,0.94,0.0
5,50,0.98,0.9899,851.7,58.7,49,1,0.98,0.0
6,50,0.92,0.9583,862.8,58.0,46,4,0.92,0.0
7,50,0.88,0.9362,972.1,51.4,44,6,0.88,0.0
8,50,0.9,0.9474,1038.3,48.2,45,5,0.9,0.0
9,50,0.92,0.92,877.4,57.0,46,4,0.9388,0.0
